Source,Target,Type,weight,book
Addam-Marbrand,Jaime-Lannister,Undirected,3,1
Addam-Marbrand,Tywin-Lannister,Undirected,6,1
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,5,1
Aegon-I-Targaryen,Eddard-Stark,Undirected,4,1
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,4,1
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,Undirected,4,1
Aemon-Targaryen-(Maester-Aemon),Chett,Undirected,9,1
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,5,1
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,13,1
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,34,1
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,5,1
Aerys-II-Targaryen,Brandon-Stark,Undirected,4,1
Aerys-II-Targaryen,Eddard-Stark,Undirected,10,1
Aerys-II-Targaryen,Gerold-Hightower,Undirected,3,1
Aerys-II-Targaryen,Jaime-Lannister,Undirected,5,1
Aerys-II-Targaryen,Jon-Arryn,Undirected,3,1
Aerys-II-Targaryen,Robert-Baratheon,Undirected,12,1
Aggo,Daenerys-Targaryen,Undirected,11,1
Aggo,Drogo,Undirected,6,1
Aggo,Jhogo,Undirected,4,1
Aggo,Jorah-Mormont,Undirected,5,1
Aggo,Quaro,Undirected,3,1
Aggo,Rakharo,Undirected,7,1
Albett,Halder,Undirected,3,1
Albett,Jon-Snow,Undirected,5,1
Albett,Rast,Undirected,3,1
Alliser-Thorne,Bowen-Marsh,Undirected,3,1
Alliser-Thorne,Grenn,Undirected,3,1
Alliser-Thorne,Halder,Undirected,4,1
Alliser-Thorne,Jeor-Mormont,Undirected,10,1
Alliser-Thorne,Jon-Snow,Undirected,32,1
Alliser-Thorne,Pypar,Undirected,4,1
Alliser-Thorne,Rast,Undirected,5,1
Alliser-Thorne,Samwell-Tarly,Undirected,8,1
Alliser-Thorne,Tyrion-Lannister,Undirected,7,1
Alyn,Eddard-Stark,Undirected,11,1
Alyn,Harwin,Undirected,6,1
Alyn,Jory-Cassel,Undirected,8,1
Alyn,Robert-Baratheon,Undirected,4,1
Alyn,Tomard,Undirected,3,1
Arthur-Dayne,Gerold-Hightower,Undirected,4,1
Arya-Stark,Benjen-Stark,Undirected,3,1
Arya-Stark,Bran-Stark,Undirected,14,1
Arya-Stark,Catelyn-Stark,Undirected,5,1
Arya-Stark,Cersei-Lannister,Undirected,12,1
Arya-Stark,Desmond,Undirected,3,1
Arya-Stark,Eddard-Stark,Undirected,30,1
Arya-Stark,Ilyn-Payne,Undirected,5,1
Arya-Stark,Jeyne-Poole,Undirected,10,1
Arya-Stark,Joffrey-Baratheon,Undirected,39,1
Arya-Stark,Jon-Snow,Undirected,37,1
Arya-Stark,Jory-Cassel,Undirected,12,1
Arya-Stark,Meryn-Trant,Undirected,4,1
Arya-Stark,Mordane,Undirected,39,1
Arya-Stark,Mycah,Undirected,18,1
Arya-Stark,Myrcella-Baratheon,Undirected,13,1
Arya-Stark,Petyr-Baelish,Undirected,3,1
Arya-Stark,Rickon-Stark,Undirected,7,1
Arya-Stark,Robb-Stark,Undirected,15,1
Arya-Stark,Robert-Baratheon,Undirected,8,1
Arya-Stark,Rodrik-Cassel,Undirected,3,1
Arya-Stark,Sandor-Clegane,Undirected,7,1
Arya-Stark,Sansa-Stark,Undirected,104,1
Arya-Stark,Syrio-Forel,Undirected,20,1
Arya-Stark,Tomard,Undirected,6,1
Arya-Stark,Tommen-Baratheon,Undirected,5,1
Arya-Stark,Vayon-Poole,Undirected,4,1
Arya-Stark,Yoren,Undirected,4,1
Arys-Oakheart,Cersei-Lannister,Undirected,3,1
Balon-Greyjoy,Eddard-Stark,Undirected,3,1
Balon-Greyjoy,Robert-Baratheon,Undirected,4,1
Balon-Swann,Renly-Baratheon,Undirected,3,1
Balon-Swann,Sandor-Clegane,Undirected,3,1
Barristan-Selmy,Boros-Blount,Undirected,3,1
Barristan-Selmy,Cersei-Lannister,Undirected,12,1
Barristan-Selmy,Eddard-Stark,Undirected,28,1
Barristan-Selmy,Jaime-Lannister,Undirected,4,1
Barristan-Selmy,Joffrey-Baratheon,Undirected,6,1
Barristan-Selmy,Jon-Arryn,Undirected,4,1
Barristan-Selmy,Meryn-Trant,Undirected,3,1
Barristan-Selmy,Petyr-Baelish,Undirected,7,1
Barristan-Selmy,Pycelle,Undirected,8,1
Barristan-Selmy,Renly-Baratheon,Undirected,13,1
Barristan-Selmy,Robert-Baratheon,Undirected,40,1
Barristan-Selmy,Sandor-Clegane,Undirected,3,1
Barristan-Selmy,Sansa-Stark,Undirected,3,1
Barristan-Selmy,Varys,Undirected,9,1
Benjen-Stark,Bran-Stark,Undirected,6,1
Benjen-Stark,Cersei-Lannister,Undirected,3,1
Benjen-Stark,Jaremy-Rykker,Undirected,3,1
Benjen-Stark,Jeor-Mormont,Undirected,9,1
Benjen-Stark,Jon-Snow,Undirected,41,1
Benjen-Stark,Luwin,Undirected,7,1
Benjen-Stark,Mance-Rayder,Undirected,3,1
Benjen-Stark,Robb-Stark,Undirected,7,1
Benjen-Stark,Robert-Baratheon,Undirected,3,1
Benjen-Stark,Theon-Greyjoy,Undirected,4,1
Benjen-Stark,Tyrion-Lannister,Undirected,8,1
Benjen-Stark,Waymar-Royce,Undirected,3,1
Benjen-Stark,Yoren,Undirected,4,1
Beric-Dondarrion,Eddard-Stark,Undirected,3,1
Beric-Dondarrion,Gregor-Clegane,Undirected,6,1
Beric-Dondarrion,Loras-Tyrell,Undirected,5,1
Beric-Dondarrion,Robert-Baratheon,Undirected,5,1
Beric-Dondarrion,Sansa-Stark,Undirected,4,1
Beric-Dondarrion,Thoros-of-Myr,Undirected,5,1
Boros-Blount,Cersei-Lannister,Undirected,9,1
Boros-Blount,Joffrey-Baratheon,Undirected,3,1
Boros-Blount,Meryn-Trant,Undirected,5,1
Boros-Blount,Sansa-Stark,Undirected,6,1
Bowen-Marsh,Jeor-Mormont,Undirected,8,1
Bowen-Marsh,Jon-Snow,Undirected,10,1
Bowen-Marsh,Samwell-Tarly,Undirected,3,1
Bran-Stark,Catelyn-Stark,Undirected,18,1
Bran-Stark,Cersei-Lannister,Undirected,6,1
Bran-Stark,Eddard-Stark,Undirected,19,1
Bran-Stark,Hali,Undirected,3,1
Bran-Stark,Hallis-Mollen,Undirected,3,1
Bran-Stark,Hodor,Undirected,29,1
Bran-Stark,Hullen,Undirected,3,1
Bran-Stark,Jeor-Mormont,Undirected,4,1
Bran-Stark,Joffrey-Baratheon,Undirected,3,1
Bran-Stark,Jon-Arryn,Undirected,7,1
Bran-Stark,Jon-Snow,Undirected,56,1
Bran-Stark,Jory-Cassel,Undirected,11,1
Bran-Stark,Joseth,Undirected,4,1
Bran-Stark,Luwin,Undirected,65,1
Bran-Stark,Nan,Undirected,17,1
Bran-Stark,Osha,Undirected,12,1
Bran-Stark,Petyr-Baelish,Undirected,3,1
Bran-Stark,Renly-Baratheon,Undirected,3,1
Bran-Stark,Rickard-Karstark,Undirected,4,1
Bran-Stark,Rickard-Stark,Undirected,4,1
Bran-Stark,Rickon-Stark,Undirected,32,1
Bran-Stark,Robb-Stark,Undirected,112,1
Bran-Stark,Robert-Baratheon,Undirected,11,1
Bran-Stark,Rodrik-Cassel,Undirected,6,1
Bran-Stark,Sansa-Stark,Undirected,10,1
Bran-Stark,Stiv,Undirected,4,1
Bran-Stark,Theon-Greyjoy,Undirected,23,1
Bran-Stark,Tommen-Baratheon,Undirected,5,1
Bran-Stark,Tyrion-Lannister,Undirected,31,1
Bran-Stark,Yoren,Undirected,3,1
Brandon-Stark,Eddard-Stark,Undirected,11,1
Brandon-Stark,Lyanna-Stark,Undirected,4,1
Brandon-Stark,Petyr-Baelish,Undirected,14,1
Brandon-Stark,Rickard-Stark,Undirected,3,1
Brandon-Stark,Robert-Baratheon,Undirected,5,1
Bronn,Catelyn-Stark,Undirected,6,1
Bronn,Chiggen,Undirected,8,1
Bronn,Marillion,Undirected,4,1
Bronn,Rodrik-Cassel,Undirected,4,1
Bronn,Shae,Undirected,3,1
Bronn,Shagga,Undirected,3,1
Bronn,Tyrion-Lannister,Undirected,61,1
Bronn,Tywin-Lannister,Undirected,4,1
Bronn,Vardis-Egen,Undirected,11,1
Bronn,Willis-Wode,Undirected,5,1
Brynden-Tully,Catelyn-Stark,Undirected,16,1
Brynden-Tully,Edmure-Tully,Undirected,3,1
Brynden-Tully,Hoster-Tully,Undirected,5,1
Brynden-Tully,Jaime-Lannister,Undirected,7,1
Brynden-Tully,Lysa-Arryn,Undirected,10,1
Brynden-Tully,Nestor-Royce,Undirected,3,1
Brynden-Tully,Robb-Stark,Undirected,9,1
Brynden-Tully,Theon-Greyjoy,Undirected,6,1
Brynden-Tully,Tyrion-Lannister,Undirected,4,1
Brynden-Tully,Tywin-Lannister,Undirected,3,1
Brynden-Tully,Walder-Frey,Undirected,3,1
