Id,Label
Aegon-I-Targaryen,Aegon I
Aegon-V-Targaryen,Aegon V
Aemon-Targaryen-(Maester-Aemon),Maester Aemon
Aenys-Frey,Aenys Frey
Aeron-Greyjoy,Aeron Greyjoy
Aerys-I-Targaryen,Aerys I
Aerys-II-Targaryen,Aerys II
Aggar,Aggar
Aggo,Aggo
Alayaya,Alayaya
Alebelly,Alebelly
Alester-Florent,Alester Florent
Allar-Deem,Allar Deem
Allard-Seaworth,Allard Seaworth
Alliser-Thorne,Alliser Thorne
Amabel,Amabel
Amory-Lorch,Amory Lorch
Ardrian-Celtigar,Ardrian Celtigar
Aron-Santagar,Aron Santagar
Arwyn-Oakheart,Arwyn Oakheart
Arya-Stark,Arya
Arys-Oakheart,Arys Oakheart
Asha-Greyjoy,Asha Greyjoy
Axell-Florent,Axell Florent
Bael-the-Bard,Bael the Bard
Ballabar,Ballabar
Balon-Greyjoy,Balon Greyjoy
Balon-Swann,Balon 
Barristan-Selmy,Barristan Selmy
Belwas,Belwas
Benfred-Tallhart,Benfred Tallhart
Benjen-Stark,Benjen Stark
Beric-Dondarrion,Beric Dondarrion
Beth-Cassel,Beth Cassel
Biter,Biter
Boros-Blount,Boros Blount
Bran-Stark,Bran
Brienne-of-Tarth,Brienne
Bronn,Bronn
Bryce-Caron,Bryce Caron
Brynden-Tully,Brynden Tully
Captain-Myraham,Captain Myraham
Captain-Myraham-Daughter,Myraham's Daughter
Catelyn-Stark,Catelyn
Cersei-Lannister,Cersei
Chataya,Chataya
Chayle,Chayle
Chella,Chella
Chett,Chett
Chiswyck,Chiswyck
Cleos-Frey,Cleos Frey
Cley-Cerwyn,Cley Cerwyn
Colen-of-Greenpools,Colen of Greenpools
Cortnay-Penrose,Cortnay Penrose
Craster,Craster
Cressen,Cressen
Cutjack,Cutjack
Daenerys-Targaryen,Daenerys
Daeron-II-Targaryen,Daeron II
Dagmer,Dagmer
Dalbridge,Dalbridge
Dancy,Dancy
Davos-Seaworth,Davos
Desmond-Grell,Desmond-Grell
Devan-Seaworth,Devan Seaworth
Dobber,Dobber
Dolf,Dolf
Donella-Hornwood,Donella Hornwood
Dontos-Hollard,Dontos Hollard
Doran-Martell,Doran Martell
Doreah,Doreah
Drennan,Drennan
Drogo,Drogo
Dunsen,Dunsen
Dywen,Dywen
Ebben,Ebben
Eddard-Stark,Ned
Eddison-Tollett,Eddison Tollett
Edmure-Tully,Edmure Tully
Eldon-Estermont,Eldon Estermont
Emmon-Cuy,Emmon Cuy
Euron-Greyjoy,Euron Greyjoy
Farlen,Farlen
Florian-the-Fool,Florian the Fool
Gariss,Gariss
Garlan-Tyrell,Garlan Tyrell
Gelmarr,Gelmarr
Gendry,Gendry
Gregor-Clegane,Gregor Clegane
Grenn,Grenn
Guyard-Morrigen,Guyard Morrigen
Gyles-Rosby,Gyles Rosby
Gynir,Gynir
Hake,Hake
Hallis-Mollen,Hallis Mollen
Hallyne,Hallyne
Halys-Hornwood,Halys Hornwood
Harra,Harra
Harren-Hoare,Harren Hoare
Hayhead,Hayhead
Helman-Tallhart,Helman Tallhart
High-Septon-(fat_one),High Septon (fat one)
High-Septon-(Tyrions),Tyrion's High Septon
Hobber-Redwyne,Hobber Redwyne
Hodor,Hodor
Horas-Redwyne,Horas Redwyne
Hoster-Tully,Hoster Tully
Hot-Pie,Hot-Pie
Howland-Reed,Howland Reed
Ilyn-Payne,Ilyn Payne
Imry-Florent,Imry Florent
Irri,Irri
Jacelyn-Bywater,Jacelyn Bywater
Jaime-Lannister,Jaime
Janos-Slynt,Janos Slynt
Jaqen-Hghar,Jaqen H'ghar
Jaremy-Rykker,Jaremy Rykker
Jarman-Buckwell,Jarman Buckwell
Jason-Mallister,Jason Mallister
Jeor-Mormont,Jeor
Jhiqui,Jhiqui
Jhogo,Jhogo
Joffrey-Baratheon,Joffrey
Jojen-Reed,Jojen
Jon-Fossoway,Jon Fossoway
Jon-Snow,Jon
Jon-Umber-(Greatjon),Greatjon
Jonquil,Jonquil
Jorah-Mormont,Jorah
Koss,Koss
Kurz,Kurz
Kyra,Kyra
Lancel-Lannister,Lancel Lannister
Lark,Lark
Leobald-Tallhart,Leobald Tallhart
Lollys-Stokeworth,Lollys Stokeworth
Lommy-Greenhands,Lommy Greenhands
Loras-Tyrell,Loras Tyrell
Lorent-Caswell,Lorent Caswell
Lorren,Lorren
Luwin,Luwin
Lynesse-Hightower,Lynesse Hightower
Lysa-Arryn,Lysa Arryn
Mace-Tyrell,Mace Tyrell
Maekar-I-Targaryen,Maekar I
Mance-Rayder,Mance Rayder
Mandon-Moore,Mandon Moore
Margaery-Tyrell,Margaery
Maron-Greyjoy,Maron Greyjoy
Martyn-Rivers,Martyn Rivers
Marya-Seaworth,Marya Seaworth
Mathis-Rowan,Mathis Rowan
Matthos-Seaworth,Matthos Seaworth
Mebble,Mebble
Meera-Reed,Meera
Melisandre,Melisandre
Meryn-Trant,Meryn Trant
Mikken,Mikken
Mirri-Maz-Duur,Mirri Maz Duur
Monford-Velaryon,Monford Velaryon
Moon-Boy,Moon Boy
Mors-Umber,Mors Umber
Murch,Murch
Myrcella-Baratheon,Myrcella
Nan,Nan
Olyvar-Frey,Olyvar Frey
Osfryd-Kettleblack,Osfryd Kettleblack
