id,Source,Target,Type,weight,book,weight_inv
0,Addam-Marbrand,Jaime-Lannister,Undirected,3,1.0,0.3333333333333333
1,Addam-Marbrand,Tywin-Lannister,Undirected,6,1.0,0.16666666666666666
2,Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,5,1.0,0.2
3,Aegon-I-Targaryen,Eddard-Stark,Undirected,4,1.0,0.25
4,Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,4,1.0,0.25
5,Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,Undirected,4,1.0,0.25
6,Aemon-Targaryen-(Maester-Aemon),Chett,Undirected,9,1.0,0.1111111111111111
7,Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,5,1.0,0.2
8,Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,13,1.0,0.07692307692307693
9,Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,34,1.0,0.029411764705882356
10,Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,5,1.0,0.2
11,Aerys-II-Targaryen,Brandon-Stark,Undirected,4,1.0,0.25
12,Aerys-II-Targaryen,Eddard-Stark,Undirected,10,1.0,0.1
13,Aerys-II-Targaryen,Gerold-Hightower,Undirected,3,1.0,0.3333333333333333
14,Aerys-II-Targaryen,Jaime-Lannister,Undirected,5,1.0,0.2
15,Aerys-II-Targaryen,Jon-Arryn,Undirected,3,1.0,0.3333333333333333
16,Aerys-II-Targaryen,Robert-Baratheon,Undirected,12,1.0,0.08333333333333333
17,Aggo,Daenerys-Targaryen,Undirected,11,1.0,0.09090909090909093
18,Aggo,Drogo,Undirected,6,1.0,0.16666666666666666
19,Aggo,Jhogo,Undirected,4,1.0,0.25
20,Aggo,Jorah-Mormont,Undirected,5,1.0,0.2
21,Aggo,Quaro,Undirected,3,1.0,0.3333333333333333
22,Aggo,Rakharo,Undirected,7,1.0,0.14285714285714285
23,Albett,Halder,Undirected,3,1.0,0.3333333333333333
24,Albett,Jon-Snow,Undirected,5,1.0,0.2
25,Albett,Rast,Undirected,3,1.0,0.3333333333333333
26,Alliser-Thorne,Bowen-Marsh,Undirected,3,1.0,0.3333333333333333
27,Alliser-Thorne,Grenn,Undirected,3,1.0,0.3333333333333333
28,Alliser-Thorne,Halder,Undirected,4,1.0,0.25
29,Alliser-Thorne,Jeor-Mormont,Undirected,10,1.0,0.1
30,Alliser-Thorne,Jon-Snow,Undirected,32,1.0,0.03125
31,Alliser-Thorne,Pypar,Undirected,4,1.0,0.25
32,Alliser-Thorne,Rast,Undirected,5,1.0,0.2
33,Alliser-Thorne,Samwell-Tarly,Undirected,8,1.0,0.125
34,Alliser-Thorne,Tyrion-Lannister,Undirected,7,1.0,0.14285714285714285
35,Alyn,Eddard-Stark,Undirected,11,1.0,0.09090909090909093
36,Alyn,Harwin,Undirected,6,1.0,0.16666666666666666
37,Alyn,Jory-Cassel,Undirected,8,1.0,0.125
38,Alyn,Robert-Baratheon,Undirected,4,1.0,0.25
39,Alyn,Tomard,Undirected,3,1.0,0.3333333333333333
40,Arthur-Dayne,Gerold-Hightower,Undirected,4,1.0,0.25
41,Arya-Stark,Benjen-Stark,Undirected,3,1.0,0.3333333333333333
42,Arya-Stark,Bran-Stark,Undirected,14,1.0,0.07142857142857142
43,Arya-Stark,Catelyn-Stark,Undirected,5,1.0,0.2
44,Arya-Stark,Cersei-Lannister,Undirected,12,1.0,0.08333333333333333
45,Arya-Stark,Desmond,Undirected,3,1.0,0.3333333333333333
46,Arya-Stark,Eddard-Stark,Undirected,30,1.0,0.03333333333333333
47,Arya-Stark,Ilyn-Payne,Undirected,5,1.0,0.2
48,Arya-Stark,Jeyne-Poole,Undirected,10,1.0,0.1
49,Arya-Stark,Joffrey-Baratheon,Undirected,39,1.0,0.02564102564102564
50,Arya-Stark,Jon-Snow,Undirected,37,1.0,0.027027027027027032
51,Arya-Stark,Jory-Cassel,Undirected,12,1.0,0.08333333333333333
52,Arya-Stark,Meryn-Trant,Undirected,4,1.0,0.25
53,Arya-Stark,Mordane,Undirected,39,1.0,0.02564102564102564
54,Arya-Stark,Mycah,Undirected,18,1.0,0.05555555555555555
55,Arya-Stark,Myrcella-Baratheon,Undirected,13,1.0,0.07692307692307693
56,Arya-Stark,Petyr-Baelish,Undirected,3,1.0,0.3333333333333333
57,Arya-Stark,Rickon-Stark,Undirected,7,1.0,0.14285714285714285
58,Arya-Stark,Robb-Stark,Undirected,15,1.0,0.06666666666666668
59,Arya-Stark,Robert-Baratheon,Undirected,8,1.0,0.125
60,Arya-Stark,Rodrik-Cassel,Undirected,3,1.0,0.3333333333333333
61,Arya-Stark,Sandor-Clegane,Undirected,7,1.0,0.14285714285714285
62,Arya-Stark,Sansa-Stark,Undirected,104,1.0,0.009615384615384616
63,Arya-Stark,Syrio-Forel,Undirected,20,1.0,0.05
64,Arya-Stark,Tomard,Undirected,6,1.0,0.16666666666666666
65,Arya-Stark,Tommen-Baratheon,Undirected,5,1.0,0.2
66,Arya-Stark,Vayon-Poole,Undirected,4,1.0,0.25
67,Arya-Stark,Yoren,Undirected,4,1.0,0.25
68,Arys-Oakheart,Cersei-Lannister,Undirected,3,1.0,0.3333333333333333
69,Balon-Greyjoy,Eddard-Stark,Undirected,3,1.0,0.3333333333333333
70,Balon-Greyjoy,Robert-Baratheon,Undirected,4,1.0,0.25
71,Balon-Swann,Renly-Baratheon,Undirected,3,1.0,0.3333333333333333
72,Balon-Swann,Sandor-Clegane,Undirected,3,1.0,0.3333333333333333
73,Barristan-Selmy,Boros-Blount,Undirected,3,1.0,0.3333333333333333
74,Barristan-Selmy,Cersei-Lannister,Undirected,12,1.0,0.08333333333333333
75,Barristan-Selmy,Eddard-Stark,Undirected,28,1.0,0.03571428571428571
76,Barristan-Selmy,Jaime-Lannister,Undirected,4,1.0,0.25
77,Barristan-Selmy,Joffrey-Baratheon,Undirected,6,1.0,0.16666666666666666
78,Barristan-Selmy,Jon-Arryn,Undirected,4,1.0,0.25
79,Barristan-Selmy,Meryn-Trant,Undirected,3,1.0,0.3333333333333333
80,Barristan-Selmy,Petyr-Baelish,Undirected,7,1.0,0.14285714285714285
81,Barristan-Selmy,Pycelle,Undirected,8,1.0,0.125
82,Barristan-Selmy,Renly-Baratheon,Undirected,13,1.0,0.07692307692307693
83,Barristan-Selmy,Robert-Baratheon,Undirected,40,1.0,0.025
84,Barristan-Selmy,Sandor-Clegane,Undirected,3,1.0,0.3333333333333333
85,Barristan-Selmy,Sansa-Stark,Undirected,3,1.0,0.3333333333333333
86,Barristan-Selmy,Varys,Undirected,9,1.0,0.1111111111111111
87,Benjen-Stark,Bran-Stark,Undirected,6,1.0,0.16666666666666666
88,Benjen-Stark,Cersei-Lannister,Undirected,3,1.0,0.3333333333333333
89,Benjen-Stark,Jaremy-Rykker,Undirected,3,1.0,0.3333333333333333
90,Benjen-Stark,Jeor-Mormont,Undirected,9,1.0,0.1111111111111111
91,Benjen-Stark,Jon-Snow,Undirected,41,1.0,0.024390243902439025
92,Benjen-Stark,Luwin,Undirected,7,1.0,0.14285714285714285
93,Benjen-Stark,Mance-Rayder,Undirected,3,1.0,0.3333333333333333
94,Benjen-Stark,Robb-Stark,Undirected,7,1.0,0.14285714285714285
95,Benjen-Stark,Robert-Baratheon,Undirected,3,1.0,0.3333333333333333
96,Benjen-Stark,Theon-Greyjoy,Undirected,4,1.0,0.25
97,Benjen-Stark,Tyrion-Lannister,Undirected,8,1.0,0.125
98,Benjen-Stark,Waymar-Royce,Undirected,3,1.0,0.3333333333333333
99,Benjen-Stark,Yoren,Undirected,4,1.0,0.25
100,Beric-Dondarrion,Eddard-Stark,Undirected,3,1.0,0.3333333333333333
101,Beric-Dondarrion,Gregor-Clegane,Undirected,6,1.0,0.16666666666666666
102,Beric-Dondarrion,Loras-Tyrell,Undirected,5,1.0,0.2
103,Beric-Dondarrion,Robert-Baratheon,Undirected,5,1.0,0.2
104,Beric-Dondarrion,Sansa-Stark,Undirected,4,1.0,0.25
105,Beric-Dondarrion,Thoros-of-Myr,Undirected,5,1.0,0.2
106,Boros-Blount,Cersei-Lannister,Undirected,9,1.0,0.1111111111111111
107,Boros-Blount,Joffrey-Baratheon,Undirected,3,1.0,0.3333333333333333
108,Boros-Blount,Meryn-Trant,Undirected,5,1.0,0.2
109,Boros-Blount,Sansa-Stark,Undirected,6,1.0,0.16666666666666666
110,Bowen-Marsh,Jeor-Mormont,Undirected,8,1.0,0.125
111,Bowen-Marsh,Jon-Snow,Undirected,10,1.0,0.1
112,Bowen-Marsh,Samwell-Tarly,Undirected,3,1.0,0.3333333333333333
113,Bran-Stark,Catelyn-Stark,Undirected,18,1.0,0.05555555555555555
114,Bran-Stark,Cersei-Lannister,Undirected,6,1.0,0.16666666666666666
115,Bran-Stark,Eddard-Stark,Undirected,19,1.0,0.05263157894736842
116,Bran-Stark,Hali,Undirected,3,1.0,0.3333333333333333
117,Bran-Stark,Hallis-Mollen,Undirected,3,1.0,0.3333333333333333
118,Bran-Stark,Hodor,Undirected,29,1.0,0.03448275862068965
119,Bran-Stark,Hullen,Undirected,3,1.0,0.3333333333333333
120,Bran-Stark,Jeor-Mormont,Undirected,4,1.0,0.25
121,Bran-Stark,Joffrey-Baratheon,Undirected,3,1.0,0.3333333333333333
122,Bran-Stark,Jon-Arryn,Undirected,7,1.0,0.14285714285714285
123,Bran-Stark,Jon-Snow,Undirected,56,1.0,0.017857142857142856
124,Bran-Stark,Jory-Cassel,Undirected,11,1.0,0.09090909090909093
125,Bran-Stark,Joseth,Undirected,4,1.0,0.25
126,Bran-Stark,Luwin,Undirected,65,1.0,0.015384615384615384
127,Bran-Stark,Nan,Undirected,17,1.0,0.05882352941176471
128,Bran-Stark,Osha,Undirected,12,1.0,0.08333333333333333
129,Bran-Stark,Petyr-Baelish,Undirected,3,1.0,0.3333333333333333
130,Bran-Stark,Renly-Baratheon,Undirected,3,1.0,0.3333333333333333
131,Bran-Stark,Rickard-Karstark,Undirected,4,1.0,0.25
132,Bran-Stark,Rickard-Stark,Undirected,4,1.0,0.25
133,Bran-Stark,Rickon-Stark,Undirected,32,1.0,0.03125
134,Bran-Stark,Robb-Stark,Undirected,112,1.0,0.008928571428571428
135,Bran-Stark,Robert-Baratheon,Undirected,11,1.0,0.09090909090909093
136,Bran-Stark,Rodrik-Cassel,Undirected,6,1.0,0.16666666666666666
137,Bran-Stark,Sansa-Stark,Undirected,10,1.0,0.1
138,Bran-Stark,Stiv,Undirected,4,1.0,0.25
139,Bran-Stark,Theon-Greyjoy,Undirected,23,1.0,0.043478260869565216
140,Bran-Stark,Tommen-Baratheon,Undirected,5,1.0,0.2
141,Bran-Stark,Tyrion-Lannister,Undirected,31,1.0,0.03225806451612903
142,Bran-Stark,Yoren,Undirected,3,1.0,0.3333333333333333
143,Brandon-Stark,Eddard-Stark,Undirected,11,1.0,0.09090909090909093
144,Brandon-Stark,Lyanna-Stark,Undirected,4,1.0,0.25
145,Brandon-Stark,Petyr-Baelish,Undirected,14,1.0,0.07142857142857142
146,Brandon-Stark,Rickard-Stark,Undirected,3,1.0,0.3333333333333333
147,Brandon-Stark,Robert-Baratheon,Undirected,5,1.0,0.2
148,Bronn,Catelyn-Stark,Undirected,6,1.0,0.16666666666666666
149,Bronn,Chiggen,Undirected,8,1.0,0.125
150,Bronn,Marillion,Undirected,4,1.0,0.25
151,Bronn,Rodrik-Cassel,Undirected,4,1.0,0.25
152,Bronn,Shae,Undirected,3,1.0,0.3333333333333333
153,Bronn,Shagga,Undirected,3,1.0,0.3333333333333333
154,Bronn,Tyrion-Lannister,Undirected,61,1.0,0.016393442622950817
155,Bronn,Tywin-Lannister,Undirected,4,1.0,0.25
156,Bronn,Vardis-Egen,Undirected,11,1.0,0.09090909090909093
157,Bronn,Willis-Wode,Undirected,5,1.0,0.2
158,Brynden-Tully,Catelyn-Stark,Undirected,16,1.0,0.0625
159,Brynden-Tully,Edmure-Tully,Undirected,3,1.0,0.3333333333333333
160,Brynden-Tully,Hoster-Tully,Undirected,5,1.0,0.2
161,Brynden-Tully,Jaime-Lannister,Undirected,7,1.0,0.14285714285714285
162,Brynden-Tully,Lysa-Arryn,Undirected,10,1.0,0.1
163,Brynden-Tully,Nestor-Royce,Undirected,3,1.0,0.3333333333333333
164,Brynden-Tully,Robb-Stark,Undirected,9,1.0,0.1111111111111111
165,Brynden-Tully,Theon-Greyjoy,Undirected,6,1.0,0.16666666666666666
166,Brynden-Tully,Tyrion-Lannister,Undirected,4,1.0,0.25
167,Brynden-Tully,Tywin-Lannister,Undirected,3,1.0,0.3333333333333333
168,Brynden-Tully,Walder-Frey,Undirected,3,1.0,0.3333333333333333
169,Catelyn-Stark,Cersei-Lannister,Undirected,12,1.0,0.08333333333333333
170,Catelyn-Stark,Colemon,Undirected,3,1.0,0.3333333333333333
171,Catelyn-Stark,Donnel-Waynwood,Undirected,3,1.0,0.3333333333333333
172,Catelyn-Stark,Eddard-Stark,Undirected,64,1.0,0.015625
173,Catelyn-Stark,Edmure-Tully,Undirected,7,1.0,0.14285714285714285
174,Catelyn-Stark,Eon-Hunter,Undirected,3,1.0,0.3333333333333333
175,Catelyn-Stark,Hallis-Mollen,Undirected,10,1.0,0.1
176,Catelyn-Stark,Hoster-Tully,Undirected,6,1.0,0.16666666666666666
177,Catelyn-Stark,Jaime-Lannister,Undirected,9,1.0,0.1111111111111111
178,Catelyn-Stark,Joffrey-Baratheon,Undirected,4,1.0,0.25
179,Catelyn-Stark,Jon-Arryn,Undirected,11,1.0,0.09090909090909093
180,Catelyn-Stark,Jon-Snow,Undirected,14,1.0,0.07142857142857142
181,Catelyn-Stark,Jon-Umber-(Greatjon),Undirected,4,1.0,0.25
182,Catelyn-Stark,Luwin,Undirected,14,1.0,0.07142857142857142
183,Catelyn-Stark,Lysa-Arryn,Undirected,33,1.0,0.030303030303030307
184,Catelyn-Stark,Marillion,Undirected,6,1.0,0.16666666666666666
185,Catelyn-Stark,Masha-Heddle,Undirected,5,1.0,0.2
186,Catelyn-Stark,Moreo-Tumitis,Undirected,3,1.0,0.3333333333333333
187,Catelyn-Stark,Mya-Stone,Undirected,9,1.0,0.1111111111111111
188,Catelyn-Stark,Mychel-Redfort,Undirected,3,1.0,0.3333333333333333
189,Catelyn-Stark,Nestor-Royce,Undirected,3,1.0,0.3333333333333333
190,Catelyn-Stark,Petyr-Baelish,Undirected,22,1.0,0.045454545454545456
191,Catelyn-Stark,Rickard-Karstark,Undirected,6,1.0,0.16666666666666666
192,Catelyn-Stark,Rickon-Stark,Undirected,3,1.0,0.3333333333333333
193,Catelyn-Stark,Robb-Stark,Undirected,49,1.0,0.020408163265306117
194,Catelyn-Stark,Robert-Arryn,Undirected,3,1.0,0.3333333333333333
195,Catelyn-Stark,Robert-Baratheon,Undirected,22,1.0,0.045454545454545456
196,Catelyn-Stark,Rodrik-Cassel,Undirected,25,1.0,0.04
197,Catelyn-Stark,Sansa-Stark,Undirected,9,1.0,0.1111111111111111
198,Catelyn-Stark,Stevron-Frey,Undirected,5,1.0,0.2
199,Catelyn-Stark,Theon-Greyjoy,Undirected,9,1.0,0.1111111111111111
200,Catelyn-Stark,Tyrion-Lannister,Undirected,49,1.0,0.020408163265306117
201,Catelyn-Stark,Tytos-Blackwood,Undirected,4,1.0,0.25
202,Catelyn-Stark,Tywin-Lannister,Undirected,7,1.0,0.14285714285714285
203,Catelyn-Stark,Vardis-Egen,Undirected,5,1.0,0.2
204,Catelyn-Stark,Varys,Undirected,10,1.0,0.1
205,Catelyn-Stark,Walder-Frey,Undirected,13,1.0,0.07692307692307693
206,Catelyn-Stark,Wendel-Manderly,Undirected,3,1.0,0.3333333333333333
207,Catelyn-Stark,Willis-Wode,Undirected,5,1.0,0.2
208,Cayn,Eddard-Stark,Undirected,7,1.0,0.14285714285714285
209,Cayn,Renly-Baratheon,Undirected,3,1.0,0.3333333333333333
210,Cayn,Tomard,Undirected,6,1.0,0.16666666666666666
211,Cersei-Lannister,Eddard-Stark,Undirected,69,1.0,0.014492753623188406
212,Cersei-Lannister,Ilyn-Payne,Undirected,4,1.0,0.25
213,Cersei-Lannister,Jaime-Lannister,Undirected,16,1.0,0.0625
214,Cersei-Lannister,Janos-Slynt,Undirected,4,1.0,0.25
215,Cersei-Lannister,Joffrey-Baratheon,Undirected,42,1.0,0.023809523809523808
216,Cersei-Lannister,Jon-Arryn,Undirected,7,1.0,0.14285714285714285
217,Cersei-Lannister,Jon-Snow,Undirected,4,1.0,0.25
218,Cersei-Lannister,Jory-Cassel,Undirected,5,1.0,0.2
219,Cersei-Lannister,Meryn-Trant,Undirected,4,1.0,0.25
220,Cersei-Lannister,Mordane,Undirected,3,1.0,0.3333333333333333
221,Cersei-Lannister,Myrcella-Baratheon,Undirected,7,1.0,0.14285714285714285
222,Cersei-Lannister,Petyr-Baelish,Undirected,13,1.0,0.07692307692307693
223,Cersei-Lannister,Pycelle,Undirected,9,1.0,0.1111111111111111
224,Cersei-Lannister,Renly-Baratheon,Undirected,5,1.0,0.2
225,Cersei-Lannister,Robert-Baratheon,Undirected,72,1.0,0.013888888888888888
226,Cersei-Lannister,Sandor-Clegane,Undirected,5,1.0,0.2
227,Cersei-Lannister,Sansa-Stark,Undirected,29,1.0,0.03448275862068965
228,Cersei-Lannister,Stannis-Baratheon,Undirected,5,1.0,0.2
229,Cersei-Lannister,Tommen-Baratheon,Undirected,4,1.0,0.25
230,Cersei-Lannister,Tyrion-Lannister,Undirected,27,1.0,0.037037037037037035
231,Cersei-Lannister,Tywin-Lannister,Undirected,10,1.0,0.1
232,Cersei-Lannister,Varys,Undirected,19,1.0,0.05263157894736842
233,Cersei-Lannister,Vayon-Poole,Undirected,4,1.0,0.25
234,Chella,Tyrion-Lannister,Undirected,5,1.0,0.2
235,Chett,Jon-Snow,Undirected,4,1.0,0.25
236,Chett,Samwell-Tarly,Undirected,6,1.0,0.16666666666666666
237,Chiggen,Tyrion-Lannister,Undirected,5,1.0,0.2
238,Chiggen,Willis-Wode,Undirected,3,1.0,0.3333333333333333
239,Clement-Piper,Karyl-Vance,Undirected,4,1.0,0.25
240,Cohollo,Daenerys-Targaryen,Undirected,7,1.0,0.14285714285714285
241,Cohollo,Drogo,Undirected,9,1.0,0.1111111111111111
242,Cohollo,Haggo,Undirected,7,1.0,0.14285714285714285
243,Cohollo,Qotho,Undirected,6,1.0,0.16666666666666666
244,Colemon,Vardis-Egen,Undirected,4,1.0,0.25
245,Conn,Coratt,Undirected,5,1.0,0.2
246,Conn,Shagga,Undirected,9,1.0,0.1111111111111111
247,Conn,Tyrion-Lannister,Undirected,6,1.0,0.16666666666666666
248,Daenerys-Targaryen,Doreah,Undirected,15,1.0,0.06666666666666668
249,Daenerys-Targaryen,Drogo,Undirected,101,1.0,0.0099009900990099
250,Daenerys-Targaryen,Eddard-Stark,Undirected,5,1.0,0.2
251,Daenerys-Targaryen,Eroeh,Undirected,5,1.0,0.2
252,Daenerys-Targaryen,Haggo,Undirected,12,1.0,0.08333333333333333
253,Daenerys-Targaryen,Illyrio-Mopatis,Undirected,24,1.0,0.04166666666666666
254,Daenerys-Targaryen,Irri,Undirected,25,1.0,0.04
255,Daenerys-Targaryen,Jhiqui,Undirected,26,1.0,0.038461538461538464
256,Daenerys-Targaryen,Jhogo,Undirected,17,1.0,0.05882352941176471
257,Daenerys-Targaryen,Jorah-Mormont,Undirected,75,1.0,0.013333333333333334
258,Daenerys-Targaryen,Mirri-Maz-Duur,Undirected,31,1.0,0.03225806451612903
259,Daenerys-Targaryen,Qotho,Undirected,18,1.0,0.05555555555555555
260,Daenerys-Targaryen,Quaro,Undirected,5,1.0,0.2
261,Daenerys-Targaryen,Rakharo,Undirected,4,1.0,0.25
262,Daenerys-Targaryen,Rhaegar-Targaryen,Undirected,4,1.0,0.25
263,Daenerys-Targaryen,Robert-Baratheon,Undirected,11,1.0,0.09090909090909093
264,Daenerys-Targaryen,Varys,Undirected,5,1.0,0.2
265,Daenerys-Targaryen,Viserys-Targaryen,Undirected,37,1.0,0.027027027027027032
266,Danwell-Frey,Hosteen-Frey,Undirected,3,1.0,0.3333333333333333
267,Danwell-Frey,Jared-Frey,Undirected,3,1.0,0.3333333333333333
268,Danwell-Frey,Walder-Frey,Undirected,3,1.0,0.3333333333333333
269,Dareon,Jon-Snow,Undirected,6,1.0,0.16666666666666666
270,Daryn-Hornwood,Eddard-Stark,Undirected,3,1.0,0.3333333333333333
271,Daryn-Hornwood,Torrhen-Karstark,Undirected,3,1.0,0.3333333333333333
272,Desmond,Eddard-Stark,Undirected,4,1.0,0.25
273,Dolf,Shagga,Undirected,7,1.0,0.14285714285714285
274,Donal-Noye,Jon-Snow,Undirected,7,1.0,0.14285714285714285
275,Doreah,Drogo,Undirected,5,1.0,0.2
276,Doreah,Irri,Undirected,14,1.0,0.07142857142857142
277,Doreah,Jhiqui,Undirected,11,1.0,0.09090909090909093
278,Doreah,Jorah-Mormont,Undirected,3,1.0,0.3333333333333333
279,Doreah,Viserys-Targaryen,Undirected,3,1.0,0.3333333333333333
